,Predicted 0,Predicted 1,Predicted 2,Predicted 3,Predicted 4
Class 0,117,4,9,39,3
Class 1,2,235,29,118,0
Class 2,5,29,363,108,0
Class 3,5,43,25,467,5
Class 4,1,2,14,30,515
