,Predicted 0,Predicted 1,Predicted 2,Predicted 3,Predicted 4
Class 0,116,4,8,36,8
Class 1,1,193,53,133,4
Class 2,3,24,360,113,5
Class 3,4,32,39,457,13
Class 4,1,1,1,9,550
