,Predicted 0,Predicted 1,Predicted 2,Predicted 3,Predicted 4
Class 0,108,2,20,28,14
Class 1,20,169,55,121,19
Class 2,17,21,364,79,24
Class 3,23,44,40,423,15
Class 4,4,2,3,32,521
